,IMO_Number,DWT
763,9164768,16024
764,9164770,16024
765,9164782,16024
766,9164794,20731
767,9164811,20738
768,9165310,14413
769,9165358,40881
770,9165360,40879
771,9165695,18367
772,9165827,22882
773,9166211,31764
774,9166637,9729
775,9166651,34116
776,9166778,110387
777,9166780,110387
778,9166869,8821
779,9166895,13418
780,9167150,34985
781,9167318,4422
782,9167801,12906
783,9167942,14332
784,9168154,29519
785,9168192,38250
786,9168207,38250
787,9168221,37842
788,9168611,22201
789,9168623,22220
790,9168635,37395
791,9168647,37438
792,9169029,18779
793,9169031,18779
794,9169043,18779
795,9169055,18779
796,9169067,18779
797,9169122,52329
798,9169316,16669
799,9169330,46685
800,9169768,15441
801,9169782,15441
802,9169940,22199
803,9170183,340
804,9170597,19733
805,9170999,8491
806,9171113,29478
807,9171163,450
808,9171280,27100
809,9171345,44990
810,9171371,9861
811,9171383,9802
812,9171395,9766
813,9171474,10373
814,9172105,24154
815,9172155,9887
816,9172167,9887
817,9172210,16028
818,9172222,16028
819,9172258,31975
820,9172260,31980
821,9172272,31972
822,9172703,8040
823,9172870,35161
824,9172947,11013
825,9172959,12906
826,9173068,13712
827,9173070,17779
828,9173692,13340
829,9174282,21514
830,9174775,4033
831,9175494,14413
832,9175705,17250
833,9175767,10307
834,9175779,17733
835,9175781,17733
836,9176046,450
837,9176058,500
838,9176072,655
839,9176395,16747
840,9176565,28360
841,9176577,28126
842,9176632,21479
843,9176694,19733
844,9176929,37916
845,9177428,21523
846,9177430,21503
847,9177557,23503
848,9177777,13347
849,9177789,13347
850,9177985,24351
851,9178197,37236
852,9178202,37155
853,9178599,5590
854,9179256,17322
855,9179268,17322
856,9179373,8734
857,9179555,11050
858,9179567,11425
859,9179725,28360
860,9179983,3347
861,9179995,3387
862,9180190,11202
863,9180205,11203
864,9180358,34939
865,9180360,34941
866,9180372,34948
867,9180384,34946
868,9180396,34947
869,9180839,9200
870,9180918,75122
871,9180956,16211
872,9180968,16211
873,9181077,9741
874,9181106,7477
875,9181118,172247
876,9181120,46620
877,9181132,10097
878,9181144,10114
879,9181168,10139
880,9181170,10358
881,9181376,15894
882,9181493,24175
883,9181558,22733
884,9181560,22747
885,9181651,67678
886,9181675,67795
887,9181728,30109
888,9182277,21547
889,9182289,21526
890,9182356,14283
891,9182710,169159
892,9182954,46428
893,9182966,46428
894,9182978,46428
895,9183568,7876
896,9183788,7438
897,9183790,7440
898,9183843,21871
899,9183855,2557
900,9183984,9415
901,9184029,9755
902,9184419,7300
903,9184536,8097
904,9184653,8736
905,9184859,21199
906,9185047,14067
907,9185073,75592
908,9185396,4100
909,9185451,16919
910,9185463,16886
911,9185815,32942
912,9186182,11564
913,9186194,11585
914,9186209,45038
915,9186223,44982
916,9186235,44691
917,9186302,21200
918,9186352,15990
919,9186388,6862
920,9186390,5194
921,9186405,6862
922,9186417,7291
923,9186429,7296
924,9186479,28674
925,9186649,4650
926,9186687,47257
927,9186780,36466
928,9187033,17539
929,9187057,8297
930,9187318,4567
931,9187409,13670
932,9187538,16631
933,9188154,63216
934,9188219,30029
935,9188221,12502
936,9188233,12457
937,9188245,12502
938,9188415,16631
939,9188427,7073
940,9188506,6867
941,9188518,13520
942,9188817,10813
943,9188829,10834
944,9188867,400
945,9188881,455
946,9188908,41675
947,9188922,10335
948,9189251,28126
949,9189354,67515
950,9189366,67717
951,9189677,31828
952,9189873,10447
953,9189897,11793
954,9189902,11788
955,9189926,50655
956,9190080,17451
957,9190107,17072
958,9190119,17451
959,9190157,4311
960,9190212,9100
961,9190731,63200
962,9190743,63000
963,9190755,63200
964,9190767,63400
965,9190779,63400
966,9190781,63395
967,9191307,39516
968,9191319,38300
969,9191321,39516
970,9191474,10110
971,9191498,10318
972,9191876,27564
973,9192129,8702
974,9192167,2980
975,9192179,2980
976,9192375,15200
977,9192442,30194
978,9192478,30194
979,9192662,29161
980,9192674,29161
981,9192686,29108
982,9192959,15500
983,9193264,61986
984,9193288,67145
985,9193290,67145
986,9193305,66971
987,9193317,66975
988,9193680,29266
989,9193707,45251
990,9194397,46677
991,9194464,14190
992,9194476,11791
993,9194921,9566
994,9195133,3414
995,9195145,3414
996,9196163,8865
997,9196242,9567
998,9196307,32260
999,9196319,3281
1000,9196395,27797
1001,9196709,26617
1002,9196711,26707
1003,9196852,81556
1004,9196967,63400
1005,9196979,63216
1006,9197002,47027
1007,9197088,24993
1008,9197105,4500
1009,9197117,24999
1010,9197284,49592
1011,9197296,49487
1012,9197363,21402
1013,9197375,21402
1014,9197466,9361
1015,9197478,9370
1016,9197521,7131
1017,9197533,7261
1018,9197545,81577
1019,9197727,7875
1020,9197882,31025
1021,9197911,21402
1022,9197947,21402
1023,9198123,26169
1024,9198135,26195
1025,9198381,45572
1026,9198563,37622
1027,9198721,8702
1028,9198927,6515
1029,9198939,6515
1030,9198977,7226
1031,9198989,7296
1032,9200330,36563
1033,9200419,36563
1034,9200421,47027
1035,9200445,36563
1036,9200574,16870
1037,9200691,68790
1038,9200811,66781
1039,9201750,4504
1040,9201774,7071
1041,9202039,4995
1042,9202077,8450
1043,9202170,19309
1044,9202508,21250
1045,9202522,21250
1046,9202534,21349
1047,9202546,21402
1048,9202649,56889
1049,9202651,56880
1050,9202857,12734
1051,9202869,10309
1052,9203291,21511
1053,9203502,32308
1054,9203526,32391
1055,9203538,32350
1056,9203576,25818
1057,9203588,21224
1058,9203590,21321
1059,9203904,14065
1060,9203942,56903
1061,9203954,61468
1062,9204063,7440
1063,9204362,7200
1064,9204477,22878
1065,9204491,9113
1066,9204506,9113
1067,9204568,7237
1068,9204685,75681
1069,9204790,20406
1070,9204958,15917
1071,9204960,15917
1072,9205550,10620
1073,9205574,8485
1074,9205706,9218
1075,9205718,9231
1076,9205885,36563
1077,9205897,36563
1078,9205902,36563
1079,9205926,36563
1080,9205938,36563
1081,9205940,50913
1082,9206140,31727
1083,9206384,49999
1084,9206700,800
1085,9206712,717
1086,9206774,6670
1087,9206786,6670
1088,9207039,6875
1089,9207390,4171
1090,9207508,9150
1091,9207584,5075
1092,9207778,75966
1093,9207883,8702
1094,9207895,8699
1095,9207998,14200
1096,9208007,14200
1097,9208071,7680
1098,9208112,37418
1099,9208148,8669
1100,9208198,17539
1101,9208203,17539
1102,9208356,25414
1103,9208617,10100
1104,9208629,8850
1105,9208679,2651
1106,9209104,32392
1107,9209116,75608
1108,9209271,17693
1109,9209453,13320
1110,9209506,20131
1111,9210050,40017
1112,9210062,40125
1113,9210098,39978
1114,9210141,8707
1115,9210153,6949
1116,9210244,8151
1117,9210270,8275
1118,9210323,7644
1119,9210359,7625
1120,9210438,21400
1121,9210440,21400
1122,9210919,35795
1123,9211482,93552
1124,9211494,93552
1125,9211511,6920
1126,9212010,15317
1127,9212022,15299
1128,9212034,15313
1129,9212163,5620
1130,9212644,11170
1131,9212656,11234
1132,9213090,20396
1133,9213337,787
1134,9213727,8733
1135,9213739,9567
1136,9213741,9850
1137,9213806,16451
1138,9213818,16396
1139,9213911,6885
1140,9214173,8650
1141,9214185,8600
1142,9214214,67580
1143,9214252,18320
1144,9214276,9750
1145,9214288,9720
1146,9214317,37518
1147,9214367,5500
1148,9214379,5506
1149,9214549,28075
1150,9214666,12300
1151,9214678,12300
1152,9214991,9665
1153,9215141,4995
1154,9215256,49429
1155,9215268,49479
1156,9215270,49592
1157,9215294,49539
1158,9215309,49559
1159,9215311,93552
1160,9215323,93552
1161,9215347,23529
1162,9215476,9865
1163,9215505,4884
1164,9215555,1960
1165,9215672,51087
1166,9216028,6524
1167,9216030,6524
1168,9216092,16794
1169,9216107,18425
1170,9216183,470
1171,9216248,74401
1172,9216250,485
1173,9216353,15315
1174,9216470,7721
1175,9216585,5000
1176,9216597,24516
1177,9216626,18972
1178,9216808,52434
1179,9216999,68142
1180,9217125,5000
1181,9217151,10603
1182,9217163,10629
1183,9217230,6475
1184,9217242,9029
1185,9217565,22967
1186,9217618,32267
1187,9217644,75115
1188,9217797,12235
1189,9217826,23677
1190,9218052,32787
1191,9218193,7567
1192,9218337,45526
1193,9218404,32787
1194,9218416,32845
1195,9218428,75961
1196,9218648,39401
1197,9218650,67987
1198,9219331,4558
1199,9219381,41833
1200,9219862,6850
1201,9219874,6850
1202,9220067,14901
1203,9220079,14901
1204,9220328,33937
1205,9220330,6700
1206,9220342,6700
1207,9220354,12000
1208,9220615,18440
1209,9220627,18885
1210,9220794,9174
1211,9220809,9174
1212,9220861,30450
1213,9220885,30420
1214,9220897,30194
1215,9221310,6075
1216,9221334,76397
1217,9221346,710
1218,9221358,721
1219,9221645,28471
1220,9221798,74381
1221,9221815,79501
1222,9221827,79559
1223,9222120,34641
1224,9222132,72910
1225,9222273,77941
1226,9222285,77946
1227,9222302,80238
1228,9222510,52407
1229,9222522,4600
1230,9222534,4700
1231,9222651,19998
1232,9222974,68196
1233,9222986,68131
1234,9223150,3227
1235,9223174,50169
1236,9223277,20247
1237,9223289,21275
1238,9223643,16213
1239,9223784,4730
1240,9223796,4730
1241,9223851,27912
1242,9223904,17531
1243,9224049,29804
1244,9224051,29840
1245,9224312,50790
1246,9224441,159173
1247,9224673,48377
1248,9224843,29816
1249,9224855,28740
1250,9224958,30442
1251,9225017,170726
1252,9225029,75243
1253,9225299,19625
1254,9225524,48893
1255,9225586,8867
1256,9225615,85823
1257,9225641,85890
1258,9225653,85891
1259,9225665,85928
1260,9225770,30453
1261,9225794,30453
1262,9226360,9090
1263,9226372,7944
1264,9226413,33715
1265,9226504,33917
1266,9226516,33894
1267,9226700,7072
1268,9226918,85786
1269,9226920,85806
1270,9227015,50790
1271,9227027,50789
1272,9227053,6670
1273,9227259,12300
1274,9227273,51060
1275,9227297,53328
1276,9227302,53410
1277,9227314,53452
1278,9227326,53462
1279,9227338,53081
1280,9227340,53171
1281,9227376,170188
1282,9227388,170109
1283,9227390,6113
1284,9227417,6574
1285,9227429,6578
1286,9227596,8105
1287,9227819,50296
1288,9227857,19225
1289,9227871,16239
1290,9227900,12594
1291,9227912,12594
1292,9227924,12594
1293,9227962,24997
1294,9228033,50992
1295,9228071,45601
1296,9228100,50992
1297,9228112,50992
1298,9228227,28494
1299,9228241,19092
1300,9228356,11936
1301,9228370,26863
1302,9228382,31640
1303,9228617,7481
1304,9228643,35062
1305,9228784,40050
1306,9228801,37272
1307,9228813,37244
1308,9228978,9150
1309,9228980,8748
1310,9229001,45514
1311,9229013,9974
1312,9229116,9682
1313,9229300,77900
1314,9229312,77900
1315,9229336,78231
1316,9229348,78183
1317,9229386,164274
1318,9229673,52015
1319,9229685,52000
1320,9229697,52009
1321,9229829,100006
1322,9229831,100003
1323,9229843,100016
1324,9229855,100019
1325,9229867,20035
1326,9229879,20001
1327,9229910,25063
1328,9229972,37372
1329,9229984,37058
1330,9229996,37180
1331,9230000,37058
1332,9230048,79363
1333,9230050,77822
1334,9230062,77410
1335,9230127,50170
1336,9230191,52827
1337,9230476,3400
1338,9230488,85797
1339,9230490,85802
1340,9230763,52428
1341,9230921,26747
1342,9230995,43067
1343,9231092,30538
1344,9231119,30538
1345,9231133,30396
1346,9231145,30345
1347,9231171,37320
1348,9231248,71426
1349,9231286,76623
1350,9231303,76623
1351,9231377,74269
1352,9231389,74295
1353,9231468,109390
1354,9231470,34662
1355,9231494,34649
1356,9231509,159314
1357,9231614,36031
1358,9231676,28740
1359,9231834,11386
1360,9231846,11390
1361,9231951,945
1362,9232175,53806
1363,9232204,13022
1364,9232448,106149
1365,9232527,5700
1366,9232565,54155
1367,9232589,54157
1368,9232632,22900
1369,9232644,22968
1370,9232797,15126
1371,9232802,47818
1372,9232814,47792
1373,9232888,106074
1374,9232890,51020
1375,9232955,14796
1376,9233260,74910
1377,9233284,76529
1378,9233454,46882
1379,9233466,46901
1380,9233492,74247
1381,9233595,75928
1382,9233624,16190
1383,9233765,159999
1384,9233806,92995
1385,9233818,92968
1386,9233882,52817
1387,9233985,47314
1388,9234068,13274
1389,9234070,13274
1390,9234082,13274
1391,9234094,13256
1392,9234202,33476
1393,9234276,9850
1394,9234288,9600
1395,9234290,9600
1396,9234343,69403
1397,9234355,68944
1398,9234367,68961
1399,9234472,44481
1400,9234496,45467
1401,9234513,45467
1402,9234616,23998
1403,9234628,23998
1404,9234678,37278
1405,9234989,11384
1406,9234991,11385
1407,9235050,61487
1408,9235062,37620
1409,9235141,47852
1410,9235232,74750
1411,9235361,30320
1412,9235385,8126
1413,9235402,33836
1414,9235414,6864
1415,9235488,8959
1416,9235490,8961
1417,9235517,11078
1418,9235529,9487
1419,9235555,61609
1420,9235567,62207
1421,9235610,12895
1422,9235713,105109
1423,9235828,33807
1424,9235842,5223
1425,9235854,52510
1426,9235892,106208
1427,9235983,30586
1428,9236078,31759
1429,9236262,12545
1430,9236274,12457
1431,9236286,12123
1432,9236365,44428
1433,9236420,77204
1434,9236432,77217
1435,9236597,18402
1436,9236640,46159
1437,9236755,39443
1438,9236975,34801
1439,9236999,34999
1440,9237008,34801
1441,9237113,50316
1442,9237149,8081
1443,9237151,52806
1444,9237204,50212
1445,9237230,233584
1446,9237242,8058
1447,9237369,11382
1448,9237371,11391
1449,9237589,4500
